i,book_id,title,authors,original_publication_year,average_rating,tags_text,small_image_url,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,isbn13,image_url,google_cover_url,google_cover_url_large
57,58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",1884.0,3.8,currently-reading classics fiction classic favorites,https://images.gr-assets.com/books/1405973850s/2956.jpg,953758,28467,76630,255722,344356,296316,9780142437180,https://images.gr-assets.com/books/1405973850m/2956.jpg,,
58,59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",1952.0,4.15,to-read classics childrens fiction children,https://images.gr-assets.com/books/1439632243s/24178.jpg,1064521,18450,41124,191415,346090,487763,9780064410940,https://images.gr-assets.com/books/1439632243m/24178.jpg,,
59,60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,2003.0,3.85,to-read currently-reading fiction favorites young-adult,https://images.gr-assets.com/books/1479863624s/1618.jpg,867553,21049,58117,218218,355925,262481,9781400032720,https://images.gr-assets.com/books/1479863624m/1618.jpg,,
60,61,The Girl on the Train,Paula Hawkins,2015.0,3.88,to-read mystery fiction thriller book-club,https://images.gr-assets.com/books/1490903702s/22557272.jpg,1008778,27773,73897,273817,488447,362551,9781594633670,https://images.gr-assets.com/books/1490903702m/22557272.jpg,,
61,62,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,1995.0,3.94,to-read fantasy favorites young-adult currently-reading,https://images.gr-assets.com/books/1451271747s/119322.jpg,953970,38382,64591,198764,313147,380030,9780679879240,https://images.gr-assets.com/books/1451271747m/119322.jpg,,
62,63,Wuthering Heights,"Emily Brontë, Richard J. Dunn",1847.0,3.82,classics favorites to-read fiction classic,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,899195,46469,84084,215320,309180,346082,9780393978900,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
63,64,My Sister's Keeper,Jodi Picoult,2004.0,4.06,to-read fiction currently-reading favorites books-i-own,https://images.gr-assets.com/books/1369504683s/10917.jpg,863879,17547,42763,162573,314003,350994,9780743454540,https://images.gr-assets.com/books/1369504683m/10917.jpg,,
64,65,Slaughterhouse-Five,Kurt Vonnegut Jr.,1969.0,4.06,to-read currently-reading classics fiction favorites,https://images.gr-assets.com/books/1440319389s/4981.jpg,846488,24964,45518,152442,300948,367890,9780385333850,https://images.gr-assets.com/books/1440319389m/4981.jpg,,
65,66,Gone with the Wind,Margaret Mitchell,1936.0,4.28,to-read classics favorites historical-fiction fiction,https://images.gr-assets.com/books/1328025229s/18405.jpg,873981,19996,33136,116160,234290,493721,9780446675540,https://images.gr-assets.com/books/1328025229m/18405.jpg,,
66,67,A Thousand Splendid Suns,Khaled Hosseini,2007.0,4.34,to-read favorites fiction historical-fiction book-club,https://images.gr-assets.com/books/1345958969s/128029.jpg,818742,6509,18015,99030,295817,446694,9781594489500,https://images.gr-assets.com/books/1345958969m/128029.jpg,,
67,68,The Perks of Being a Wallflower,Stephen Chbosky,1999.0,4.21,favorites to-read fiction ya books-i-own,https://images.gr-assets.com/books/1167352178s/22628.jpg,888806,14286,38658,143440,297501,461020,9780671027350,https://images.gr-assets.com/books/1167352178m/22628.jpg,,
68,69,"Insurgent (Divergent, #2)",Veronica Roth,2012.0,4.07,to-read currently-reading favorites young-adult dystopian,https://images.gr-assets.com/books/1325667729s/11735983.jpg,836362,10641,44620,182131,339977,369969,9780007442910,https://images.gr-assets.com/books/1325667729m/11735983.jpg,,
69,70,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,1985.0,4.3,to-read science-fiction favorites sci-fi currently-reading,https://images.gr-assets.com/books/1408303130s/375802.jpg,813439,15330,27612,103439,264207,462829,9780812550700,https://images.gr-assets.com/books/1408303130m/375802.jpg,,
70,71,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,3.75,classics fiction horror favorites to-read,https://images.gr-assets.com/books/1381512375s/18490.jpg,808589,29366,74142,231022,300495,248538,9780141439470,https://images.gr-assets.com/books/1381512375m/18490.jpg,,
71,72,The Shining (The Shining #1),Stephen King,1977.0,4.17,fiction owned to-read fantasy king,https://images.gr-assets.com/books/1353277730s/11588.jpg,791850,18487,28981,123862,277393,382158,9780450040180,https://images.gr-assets.com/books/1353277730m/11588.jpg,,
72,73,"The Host (The Host, #1)",Stephenie Meyer,2008.0,3.84,to-read sci-fi science-fiction fiction dystopian,https://images.gr-assets.com/books/1318009171s/1656001.jpg,749780,44215,62501,154906,227180,288758,9780316068050,https://images.gr-assets.com/books/1318009171m/1656001.jpg,,
73,74,Looking for Alaska,John Green,2005.0,4.09,favorites young-adult to-read ya books-i-own,https://images.gr-assets.com/books/1394798630s/99561.jpg,783470,16940,44232,147324,262932,359857,9780142402510,https://images.gr-assets.com/books/1394798630m/99561.jpg,,
74,75,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,1996.0,3.75,to-read chick-lit fiction currently-reading romance,https://images.gr-assets.com/books/1292060045s/227443.jpg,736498,28973,59309,198555,254836,212825,9780140280100,https://images.gr-assets.com/books/1292060045m/227443.jpg,,
75,76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,4.06,fiction favorites books-i-own owned historical-fiction,https://images.gr-assets.com/books/1397245675s/14935.jpg,738894,18430,34699,141987,272512,311754,9780141439660,https://images.gr-assets.com/books/1397245675m/14935.jpg,,
76,77,"Holes (Holes, #1)","Louis Sachar, Louis Sachar",1998.0,3.93,to-read young-adult fiction currently-reading ya,https://images.gr-assets.com/books/1327781893s/38709.jpg,747445,15495,43786,176946,269153,259257,9780439244190,https://images.gr-assets.com/books/1327781893m/38709.jpg,,
77,78,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger,2003.0,3.7,to-read chick-lit fiction books-i-own favorites,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,665930,24231,58323,192366,226675,178250,9780307275550,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
78,79,The Odyssey,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,3.73,to-read classics currently-reading fiction poetry,https://images.gr-assets.com/books/1390173285s/1381.jpg,670326,29703,65629,183082,224120,208223,9780143039950,https://images.gr-assets.com/books/1390173285m/1381.jpg,,
79,80,The Little Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,4.28,to-read fantasy childrens children classic,https://images.gr-assets.com/books/1367545443s/157993.jpg,738757,15039,32866,114714,228440,468227,9780156012200,https://images.gr-assets.com/books/1367545443m/157993.jpg,,
80,81,The Glass Castle,Jeannette Walls,2005.0,4.24,to-read currently-reading favorites non-fiction memoir,https://images.gr-assets.com/books/1400930557s/7445.jpg,621099,7901,18922,85191,227750,298102,9780743247540,https://images.gr-assets.com/books/1400930557m/7445.jpg,,
81,82,Into the Wild,Jon Krakauer,1996.0,3.94,to-read non-fiction currently-reading favorites nonfiction,https://images.gr-assets.com/books/1403173986s/1845.jpg,647684,19229,35567,135199,248287,227095,9780385486800,https://images.gr-assets.com/books/1403173986m/1845.jpg,,
82,83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,3.81,to-read currently-reading classics fiction favorites,https://images.gr-assets.com/books/1344922523s/1953.jpg,637412,28904,55555,153305,216378,223571,9780141439600,https://images.gr-assets.com/books/1344922523m/1953.jpg,,
83,84,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,1990.0,3.96,to-read science-fiction fiction sci-fi favorites,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,447833,15736,34222,138327,231583,230615,9780307348140,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
84,85,The Giving Tree,Shel Silverstein,1964.0,4.38,to-read favorites childrens currently-reading children,https://images.gr-assets.com/books/1174210942s/370493.jpg,702332,15345,20408,76071,167542,428921,9780060256650,https://images.gr-assets.com/books/1174210942m/370493.jpg,,
85,86,A Time to Kill,John Grisham,1989.0,4.03,to-read fiction currently-reading mystery thriller,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,597775,12106,25938,122675,218617,229488,9780385338610,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
86,87,Night (The Night Trilogy #1),"Elie Wiesel, Marion Wiesel",1958.0,4.3,to-read non-fiction currently-reading favorites classics,https://images.gr-assets.com/books/1473495285s/1617.jpg,691231,7761,18539,90575,230227,360777,9780374500020,https://images.gr-assets.com/books/1473495285m/1617.jpg,,
87,88,Paper Towns,John Green,2008.0,3.88,young-adult john-green to-read owned-books favourites,https://images.gr-assets.com/books/1349013610s/6442769.jpg,461311,14105,47183,154479,223895,215609,9780142414930,https://images.gr-assets.com/books/1349013610m/6442769.jpg,,
88,89,The Princess Bride ,William Goldman,1973.0,4.25,favourites to-buy currently-reading sci-fi-fantasy ya,https://images.gr-assets.com/books/1327903636s/21787.jpg,628637,12883,21641,89236,196047,338235,9780345418260,https://images.gr-assets.com/books/1327903636m/21787.jpg,,
89,90,The Outsiders,S.E. Hinton,1967.0,4.06,to-read favorites fiction ya classics,https://images.gr-assets.com/books/1442129426s/231804.jpg,659248,10178,34346,134244,227250,274419,9780140385720,https://images.gr-assets.com/books/1442129426m/231804.jpg,,
90,91,"The Maze Runner (Maze Runner, #1)",James Dashner,2009.0,4.02,to-read currently-reading young-adult favorites dystopian,https://images.gr-assets.com/books/1375596592s/6186357.jpg,719925,15291,43370,150488,266698,302109,9780385737940,https://images.gr-assets.com/books/1375596592m/6186357.jpg,,
91,92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","Steven D. Levitt, Stephen J. Dubner",2005.0,3.93,to-read nonfiction science currently-reading non-fiction,https://images.gr-assets.com/books/1327909092s/1202.jpg,524191,14586,26538,115789,216316,176072,9780061234000,https://images.gr-assets.com/books/1327909092m/1202.jpg,,
92,93,The Secret Garden,Frances Hodgson Burnett,1911.0,4.12,to-read classics currently-reading favorites fiction,https://images.gr-assets.com/books/1327873635s/2998.jpg,639357,8005,25207,129646,243821,285570,9780517189600,https://images.gr-assets.com/books/1327873635m/2998.jpg,,
93,94,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",1967.0,4.04,classics to-read owned literature classic,https://images.gr-assets.com/books/1327881361s/320.jpg,490565,27340,37646,87675,155809,267197,9780060531040,https://images.gr-assets.com/books/1327881361m/320.jpg,,
94,95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",1891.0,4.06,to-read currently-reading classics favorites fiction,https://images.gr-assets.com/books/1424596966s/5297.jpg,590014,9825,30735,129420,246892,257679,9780375751520,https://images.gr-assets.com/books/1424596966m/5297.jpg,,
95,96,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,2012.0,3.88,favorites erotica fiction series bdsm,https://images.gr-assets.com/books/1336418837s/13536860.jpg,387290,39079,55691,109963,140304,265079,9780345803500,https://images.gr-assets.com/books/1336418837m/13536860.jpg,,
